Date,Fitting,True_value,Predicted,Upper_Bound,Lower_Bound
2016-05-12,77.0164882102601,77.02853824144391,,,
2016-05-13,75.82768810595849,75.9898378712921,,,
2016-05-14,76.08223234302335,76.13861987395579,,,
2016-05-15,76.24376248352088,76.26001333980643,,,
2016-05-16,76.3928496840706,76.3816715931125,,,
2016-05-17,76.56502017381804,76.53650266412625,,,
2016-05-18,74.58922980683651,74.83587954183334,,,
2016-05-19,74.9526219588581,75.0379855977015,,,
2016-05-20,75.85840181113878,75.79546578496488,,,
2016-05-21,75.4508974531628,75.47071475393182,,,
2016-05-22,75.10579006623693,75.16014807022694,,,
2016-05-23,74.77675634341206,74.85251989777683,,,
2016-05-24,74.74597188793258,74.79334910407319,,,
2016-05-25,74.08861807800112,74.20529144631939,,,
2016-05-26,74.0489087379402,74.11914249602572,,,
2016-05-27,73.9606151239,74.01597644022071,,,
2016-05-28,74.23506434825063,74.22986283334495,,,
2016-05-29,74.47392060642557,74.44102721223291,,,
2016-05-30,74.72557815106379,74.6725766713743,,,
2016-05-31,73.87967566400235,73.96301042340839,,,
2016-06-01,74.5506296345502,74.50388583061527,,,
2016-06-02,74.77615830510466,74.72497566919434,,,
2016-06-03,76.04272864251895,75.83860753904074,,,
2016-06-04,76.27498158397354,76.13080624715106,,,
2016-06-05,76.56695076707649,76.43900498566693,,,
2016-06-06,76.83740467736791,76.72745772795363,,,
2016-06-07,78.20970227149559,77.95770894910612,,,
2016-06-08,79.91488881452811,79.53939425406946,,,
2016-06-09,79.02088946085016,78.92610903961317,,,
2016-06-10,77.73102736343562,77.83870787394413,,,
2016-06-11,77.41812712273844,77.5194643705431,,,
2016-06-12,77.08479620672385,77.18959136276092,,,
2016-06-13,76.74611363486535,76.85160901039158,,,
2016-06-14,76.67264869645446,76.74400748183773,,,
2016-06-15,77.13196163171597,77.11283439276004,,,
2016-06-16,76.92285325627084,76.94255999749855,,,
2016-06-17,77.94430786233487,77.8153385997688,,,
2016-06-18,78.08876615990805,78.00026191478022,,,
2016-06-19,78.27011209343084,78.19038298794518,,,
2016-06-20,78.45886230585269,78.38810451588036,,,
2016-06-21,78.38117800340409,78.34976027023204,,,
2016-06-22,79.23540407441159,79.10045848732777,,,
2016-06-23,79.81497944280154,79.6618054852528,,,
2016-06-24,78.82671512372715,78.86983267529355,,,
2016-06-25,78.624006047396,78.66988924704647,,,
2016-06-26,78.41007435614549,78.46774798780115,,,
2016-06-27,78.15444551370211,78.22091561633071,,,
2016-06-28,80.21764485537935,79.97675330369093,,,
2016-06-29,81.81865091765573,81.46971041825961,,,
2016-06-30,82.45383351503826,82.1631210090941,,,
2016-07-01,81.58212416643765,81.5293183592951,,,
2016-07-02,81.04652210591472,81.0804385751813,,,
2016-07-03,80.55487308491801,80.64026237655176,,,
2016-07-04,80.09605925258978,80.20529310197404,,,
2016-07-05,78.6244958255627,78.88311567884722,,,
2016-07-06,77.07510438790425,77.42431899134674,,,
2016-07-07,75.89294355916873,76.24968268920888,,,
2016-07-08,76.99208884486634,77.05324901062478,,,
2016-07-09,76.63724450756642,76.73059223689773,,,
