Date,Cotton
2014-04-18,90.7
2014-04-19,91.21
2014-04-20,91.72
2014-04-21,92.19
2014-04-22,93.3
2014-04-23,92.75
2014-04-24,93.17
2014-04-25,93.38
2014-04-26,93.09
2014-04-27,92.85
2014-04-28,92.46
2014-04-29,94.0
2014-04-30,94.42
2014-05-01,94.39
2014-05-02,94.24
2014-05-03,94.36
2014-05-04,94.47
2014-05-05,94.64
2014-05-06,93.97
2014-05-07,92.56
2014-05-08,93.01
2014-05-09,92.52
2014-05-10,92.49
2014-05-11,92.52
2014-05-12,91.31
2014-05-13,91.03
2014-05-14,90.71
2014-05-15,90.29
2014-05-16,89.8
2014-05-17,89.6
2014-05-18,89.38
2014-05-19,89.14
2014-05-20,89.06
2014-05-21,89.25
2014-05-22,87.98
2014-05-23,86.68
2014-05-24,86.33
2014-05-25,85.91
2014-05-26,85.49
2014-05-27,85.03
2014-05-28,85.01
2014-05-29,86.39
2014-05-30,86.06
2014-05-31,86.27
2014-06-01,86.46
2014-06-02,86.59
2014-06-03,87.57
2014-06-04,85.97
2014-06-05,85.47
2014-06-06,84.85
2014-06-07,84.84
2014-06-08,84.79
2014-06-09,84.6
2014-06-10,86.46
2014-06-11,85.43
2014-06-12,85.63
2014-06-13,87.02
2014-06-14,87.29
2014-06-15,87.63
2014-06-16,87.81
2014-06-17,90.34
2014-06-18,91.14
2014-06-19,87.84
2014-06-20,87.98
2014-06-21,84.46
2014-06-22,81.19
2014-06-23,77.76
2014-06-24,76.54
2014-06-25,75.16
2014-06-26,74.78
2014-06-27,74.75
2014-06-28,74.32
2014-06-29,73.91
2014-06-30,73.49
2014-07-01,73.36
2014-07-02,72.42
2014-07-03,72.05
2014-07-04,72.03
2014-07-05,71.97
2014-07-06,72.05
2014-07-07,70.26
2014-07-08,70.38
2014-07-09,69.61
2014-07-10,68.56
2014-07-11,68.11
2014-07-12,68.24
2014-07-13,68.33
2014-07-14,68.47
2014-07-15,67.86
2014-07-16,67.63
2014-07-17,67.71
2014-07-18,67.76
2014-07-19,67.74
2014-07-20,67.73
2014-07-21,67.7
2014-07-22,67.9
2014-07-23,68.14
2014-07-24,66.21
2014-07-25,65.38
2014-07-26,65.56
2014-07-27,65.66
2014-07-28,65.82
2014-07-29,65.19
2014-07-30,64.04
2014-07-31,62.83
2014-08-01,63.18
2014-08-02,63.22
2014-08-03,63.18
2014-08-04,64.39
2014-08-05,63.83
2014-08-06,64.5
2014-08-07,64.07
2014-08-08,64.18
2014-08-09,64.21
2014-08-10,64.24
2014-08-11,64.34
2014-08-12,63.44
2014-08-13,64.81
2014-08-14,64.71
2014-08-15,64.38
2014-08-16,64.25
2014-08-17,64.11
2014-08-18,63.92
2014-08-19,64.19
2014-08-20,65.79
2014-08-21,65.88
2014-08-22,66.08
2014-08-23,66.14
2014-08-24,66.21
2014-08-25,66.24
2014-08-26,66.76
2014-08-27,67.31
2014-08-28,66.63
2014-08-29,66.6
2014-08-30,66.34
2014-08-31,66.09
2014-09-01,65.84
2014-09-02,65.54
2014-09-03,65.93
2014-09-04,65.48
2014-09-05,64.36
2014-09-06,64.66
2014-09-07,64.86
2014-09-08,65.01
2014-09-09,65.69
2014-09-10,66.97
2014-09-11,68.05
2014-09-12,67.93
2014-09-13,67.25
2014-09-14,66.62
2014-09-15,65.96
2014-09-16,65.62
2014-09-17,65.73
2014-09-18,65.23
2014-09-19,64.4
2014-09-20,63.85
2014-09-21,63.29
2014-09-22,62.68
2014-09-23,62.76
2014-09-24,61.56
2014-09-25,61.38
2014-09-26,61.89
2014-09-27,61.76
2014-09-28,61.68
2014-09-29,61.6
2014-09-30,61.35
2014-10-01,62.21
2014-10-02,61.67
2014-10-03,62.69
2014-10-04,63.25
2014-10-05,63.83
2014-10-06,64.4
2014-10-07,65.21
2014-10-08,64.88
2014-10-09,63.89
2014-10-10,64.38
2014-10-11,64.67
2014-10-12,64.96
2014-10-13,65.37
2014-10-14,64.28
2014-10-15,63.76
2014-10-16,63.49
2014-10-17,63.01
2014-10-18,62.8
2014-10-19,62.57
2014-10-20,62.28
2014-10-21,62.82
2014-10-22,62.59
2014-10-23,63.09
2014-10-24,63.85
2014-10-25,63.79
2014-10-26,63.78
2014-10-27,63.72
2014-10-28,64.45
2014-10-29,65.22
2014-10-30,64.44
2014-10-31,64.35
2014-11-01,64.31
2014-11-02,64.27
2014-11-03,64.32
2014-11-04,62.99
2014-11-05,62.86
2014-11-06,63.22
2014-11-07,64.03
2014-11-08,63.42
2014-11-09,62.91
2014-11-10,62.29
2014-11-11,63.28
2014-11-12,62.08
2014-11-13,59.9
2014-11-14,59.76
2014-11-15,59.64
2014-11-16,59.5
2014-11-17,59.31
2014-11-18,59.9
2014-11-19,59.09
2014-11-20,59.11
2014-11-21,59.35
2014-11-22,59.22
2014-11-23,59.12
2014-11-24,58.97
2014-11-25,59.38
2014-11-26,59.75
2014-11-27,59.75
2014-11-28,60.08
2014-11-29,60.03
2014-11-30,60.08
2014-12-01,59.13
2014-12-02,59.47
2014-12-03,59.62
2014-12-04,60.47
2014-12-05,59.66
2014-12-06,59.68
2014-12-07,59.66
2014-12-08,59.37
2014-12-09,59.94
2014-12-10,59.64
2014-12-11,60.67
2014-12-12,60.68
2014-12-13,60.68
2014-12-14,60.68
2014-12-15,60.81
2014-12-16,59.83
2014-12-17,60.81
2014-12-18,60.79
2014-12-19,60.94
2014-12-20,60.98
2014-12-21,60.94
2014-12-22,62.13
2014-12-23,61.69
2014-12-24,61.74
2014-12-25,61.71
2014-12-26,61.69
2014-12-27,61.7
2014-12-28,61.69
2014-12-29,62.04
2014-12-30,61.95
2014-12-31,60.28
2015-01-01,60.02
2015-01-02,59.6
2015-01-03,59.95
2015-01-04,60.23
2015-01-05,60.58
2015-01-06,60.13
2015-01-07,60.35
2015-01-08,60.47
2015-01-09,60.63
2015-01-10,60.35
2015-01-11,60.1
2015-01-12,59.81
2015-01-13,60.15
2015-01-14,59.02
2015-01-15,59.53
2015-01-16,59.26
2015-01-17,58.89
2015-01-18,58.54
2015-01-19,58.18
2015-01-20,57.78
2015-01-21,57.97
2015-01-22,57.8
2015-01-23,57.42
2015-01-24,57.86
2015-01-25,58.25
2015-01-26,58.66
2015-01-27,58.63
2015-01-28,59.23
2015-01-29,59.58
2015-01-30,59.36
2015-01-31,59.6
2015-02-01,59.8
